token,exchange,symbol
851778,BSE_FO,SBILIFE
832983,BSE_FO,SBICARD
869682,BSE_FO,SBICARD
851143,BSE_FO,SBICARD
834721,BSE_FO,SHREECEM
871272,BSE_FO,SHREECEM
852700,BSE_FO,SHREECEM
832037,BSE_FO,SHRIRAMFIN
868779,BSE_FO,SHRIRAMFIN
850287,BSE_FO,SHRIRAMFIN
833166,BSE_FO,SIEMENS
869844,BSE_FO,SIEMENS
851305,BSE_FO,SIEMENS
832209,BSE_FO,SJVN
832404,BSE_FO,SOLARINDS
869130,BSE_FO,SOLARINDS
850634,BSE_FO,SOLARINDS
831632,BSE_FO,SONACOMS
868413,BSE_FO,SONACOMS
849916,BSE_FO,SONACOMS
837713,BSE_FO,SRF
867661,BSE_FO,SRF
849184,BSE_FO,SRF
865286,BSE_FO,SUZLON
870915,BSE_FO,SUZLON
865256,BSE_FO,SUZLON
836253,BSE_FO,SUNPHARMA
866259,BSE_FO,SUNPHARMA
854119,BSE_FO,SUNPHARMA
836874,BSE_FO,SUPREMEIND
866849,BSE_FO,SUPREMEIND
854750,BSE_FO,SUPREMEIND
843108,BSE_FO,SENSEX50
827334,BSE_FO,SENSEX50
861791,BSE_FO,SENSEX50
833342,BSE_FO,SYNGENE
870006,BSE_FO,SYNGENE
851484,BSE_FO,SYNGENE
833182,BSE_FO,TATAMOTORS
849387,BSE_FO,APLAPOLLO
853331,BSE_FO,APLAPOLLO
850398,BSE_FO,APLAPOLLO
853751,BSE_FO,APLAPOLLO
850806,BSE_FO,APLAPOLLO
854179,BSE_FO,APLAPOLLO
851806,BSE_FO,APLAPOLLO
961707,BSE_EQ,IIFCLBDIS3
869857,BSE_FO,TATAMOTORS
851323,BSE_FO,TATAMOTORS
838465,BSE_FO,TATAPOWER
868383,BSE_FO,TATAPOWER
849871,BSE_FO,TATAPOWER
832054,BSE_FO,TATACHEM
850306,BSE_FO,TATACHEM
837979,BSE_FO,TCS
867942,BSE_FO,TCS
849433,BSE_FO,TCS
834811,BSE_FO,TECHM
871338,BSE_FO,TECHM
852787,BSE_FO,TECHM
835745,BSE_FO,TATAELXSI
865793,BSE_FO,TATAELXSI
853652,BSE_FO,TATAELXSI
